_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
24806,0383J00144000000,383J144,2017-03-30,MG-17-000379,Port Vue Boro,,Settled and Discontinued,59659.91,Huntington National Bank
24807,0383J00146000000,383J146,2017-03-30,MG-17-000379,Port Vue Boro,,Settled and Discontinued,59659.91,Huntington National Bank
24808,0383J00145000000,383J145,2017-03-30,MG-17-000379,Port Vue Boro,,Settled and Discontinued,59659.91,Huntington National Bank
24809,0809C00127000000,809C127,2017-03-30,MG-17-000380,Moon Township,,Affidavit of Service,104883.45,LSF9 Master Participation Trust
24810,0252G00176000000,252G176,2017-03-30,MG-17-000381,Mt. Lebanon Township,,Sheriff Return,472388.93,Charleroi Federal Savings Bank
24811,0475M00110000000,475M110,2017-03-30,MG-17-000382,Bethel Park Boro,,Praecipe for Writ of Execution-Real Property,118175.28,Bank of America N.A.
24812,0195J00012000000,195J12,2017-03-31,MG-17-000383,Collier Township,,Answer,62262.93,J.P. Morgan Mortgage Acquisition Corporation
24813,0215K00231000000,215K231,2017-03-31,MG-17-000384,Bellevue Boro,,Order of Court - Held for Conciliation,36355.66,M&T Bank
24814,0174A00032000000,174A32,2017-03-31,MG-17-000385,Pittsburgh,13,Order of Court - Held for Conciliation,32299.13,EAS Sensorsense Incorporated
24815,0614H00110000000,614H110,2017-03-31,MG-17-000386,Hampton Township,,Sheriff Return,138536.58,Nextier Bank N.A.
24816,0242S00010000000,242S10,2017-03-31,MG-17-000387,Dravosburg Boro,,Affidavit of Service,115114.09,Dollar Bank Federal Savings Bank
24817,0242S00006000000,242S6,2017-03-31,MG-17-000387,Dravosburg Boro,,Affidavit of Service,115114.09,Dollar Bank Federal Savings Bank
24818,0500G00045000000,500G45,2017-03-31,MG-17-000388,Moon Township,,Default Judgment,22724.24,Dollar Bank Federal Savings Bank
24819,0645L00311000000,645L311,2017-03-31,MG-17-000389,N. Versailles Twp.,,Affidavit,0.0,U.S. Bank National Association
24820,0537R00354000000,537R354,2017-03-31,MG-17-000390,Penn Hills Township,,Praecipe for Writ of Execution,104468.44,Wells Fargo Bank National Association
24821,0392B00137000000,392B137,2017-03-31,MG-17-000391,Bethel Park Boro,,Praecipe for Writ of Execution,110988.59,Carrington Mortgage Services LLC
24822,0852R00157000000,852R157,2017-03-31,MG-17-000392,Plum Boro,,Praecipe for Writ of Execution,118008.38,Fifth Third Mortgage Company
24823,0372S00054000000,372S54,2017-03-31,MG-17-000393,Wilkins Township,,Sheriff Return,80697.58,Pennymac Loan Services LLC
24824,0097B00289000000,97B289,2017-04-02,MG-17-000394,Pittsburgh,19,Return of Service,69115.88,Bank of New York Mellon Trust Company N.A.
24825,0166J00300000000,0166J00300,2017-03-31,MG-17-000395,Shaler Township,,Order of Court - Held for Conciliation,0.0,LSF9 Master Participation Trust
24826,0764C00113000000,764C113,2017-03-31,MG-17-000396,City of Clairton,1,Settled and Discontinued,21587.33,U.S. Bank National Association
24827,0368G00315000000,368G315,2017-03-31,MG-17-000397,Penn Hills Township,,Settled and Discontinued,92310.8,Bank of New York Mellon
24828,0052A00146000000,52A146,2017-04-03,MG-17-000398,Pittsburgh,7,Praecipe for Appearance,186906.99,Wells Fargo Bank N.A.
24829,0455L00090000000,455L90,2017-04-03,MG-17-000399,Turtle Creek Boro,,Suggestion of Death,67043.7,Bank of New York Mellon
24830,0063M00173000000,63M173,2017-04-04,MG-17-000400,Dormont Boro,,Order of Court - Held for Conciliation,9360.23,First Commonwealth Bank
24831,2007M00029000000,2007M29,2017-04-04,MG-17-000401,Richland Township,,Praecipe to Reissue Writ of Execution,110571.52,Wells Fargo Bank National Association
24832,0536E00008000000,536E8,2017-04-04,MG-17-000402,Penn Hills Township,,Praecipe for Writ of Execution,71961.92,Bank Of New York Mellon Trust Company N.A.
24833,0071L00270000000,0071L00270,2017-04-04,MG-17-000403,Pittsburgh,20,Answer to Complaint,62122.85,Carrington Mortgage Services LLC
24834,0298A00190729400,0298A00190 7294,2017-04-04,MG-17-000404,Wilkinsburg Boro,,Sheriff Return,76059.33,Carrington Mortgage Services LLC
24835,0150S00096038400,150S96 384,2017-04-04,MG-17-000405,Pennsbury Village,,Sheriff Return,75810.58,Carrington Mortgage Services LLC
24836,0475A00242000000,475A242,2017-04-05,MG-17-000406,Bethel Park Boro,,Affidavit of Non-Military Service,129334.06,Equicredit Corporation of America
24837,0129H00093000000,129H93,2017-04-05,MG-17-000407,Pittsburgh,14,Order of Court - Held for Conciliation,69501.33,PNC Bank National Association
24838,0751A00018000000,0751A00018,2017-04-05,MG-17-000408,N. Versailles Twp.,,Affidavit,0.0,LSF9 Master Participation Trust
24839,0294N00323000000,294N323,2017-04-05,MG-17-000409,Penn Hills Township,,Affidavit,28964.48,Wells Fargo Bank National Association
24840,0188A00103000000,188A103,2017-04-05,MG-17-000410,Brentwood Boro,,Sheriff Return,0.0,LSF8 Master Participaiton Trust
24841,0041P00256000000,41P256,2017-04-05,MG-17-000411,Ingram Boro,,Affidavit of Non-Military Service,111069.79,Wells Fargo Bank National Association
24842,0041P00190000000,41P190,2017-04-05,MG-17-000411,Ingram Boro,,Affidavit of Non-Military Service,111069.79,Wells Fargo Bank National Association
24843,0261L00037000000,261L37,2017-04-05,MG-17-000412,Collier Township,,Sheriff Return,221573.19,HSBC Bank USA National Association
24844,0063L00225000000,63L225,2017-04-05,MG-17-000413,Dormont Boro,,Order of Court,158664.51,Wells Fargo Bank N.A.
24845,0176H00274000000,176H274,2017-04-06,MG-17-000414,Wilkinsburg Boro,,Sheriff Return,146562.92,Pennsylvania Housing Finance Agency
24846,0375L00129000000,375L129,2017-04-06,MG-17-000415,East Pittsburgh Boro,,Settled and Discontinued,22481.64,Pennsylvania Housing Finance Agency
24847,0137A00160000000,137A160,2017-04-06,MG-17-000416,Pittsburgh,28,Order of Court - Held for Conciliation,50478.37,Pennsylvania Housing Finance Agency
24848,0102A00255000000,102A255,2017-04-06,MG-17-000417,Carnegie Boro,,Sheriff Return,69540.58,Bank of New York Mellon
24849,1224E00096000000,1224E96,2017-04-06,MG-17-000418,Tarentum Boro,,Affidavit,0.0,Ocwen Loan Servicing LLC
24850,0631B00110000000,631B110,2017-04-06,MG-17-000419,Penn Hills Township,,Sheriff Return,115775.02,U.S. Bank National Association
24851,0397B00006000000,397B6,2017-04-06,MG-17-000420,S. Fayette Township,,Sheriff Return,94418.2,Bank of New York Mellon
24852,0369L00009000000,369L9,2017-04-06,MG-17-000421,Penn Hills Township,,Affidavit,0.0,EquiCredit Corporation of America
24853,0056R00148000000,56R148,2017-04-06,MG-17-000422,Pittsburgh,15,Order of Court,44659.01,Wells Fargo Bank N.A.
24854,0368H00156000000,368H156,2017-04-07,MG-17-000423,Penn Hills Township,,Order of Court - Held for Conciliation,188810.1,Bank of America N.A.
24855,0091H00008000000,91H8,2017-04-09,MG-17-000424,West Homestead Boro,,Order of Court,80822.19,PHH Mortgage Corporation
24856,0234K00070000000,234K70,2017-04-09,MG-17-000425,Swissvale Boro,,Affidavit,41625.02,PHH Mortgage Corporation
24857,0168E00028000000,0168E00028,2017-04-07,MG-17-000426,Sharpsburg Boro,,Settled and Discontinued,76612.43,Bayview Loan Servicing LLC
24858,1367G00040000000,1367G40,2017-04-07,MG-17-000427,Brackenridge Boro,,Correction to Judgment Index,50478.85,Nationstar Mortgage LLC
24859,0230R00241000000,0230R00241,2017-04-07,MG-17-000428,Penn Hills Township,,Mail Returned,0.0,Huntington National Bank
24860,0454N00270000000,454N270,2017-04-09,MG-17-000429,Wilkins Township,,Affidavit of Non-Military Service,50192.2,U.S. Bank National Association
24861,0015B00304000000,15B304,2017-04-10,MG-17-000430,Pittsburgh,19,Reply to New Matter,64565.49,Nationstar Mortgage LLC
24862,0448A00036000000,448A36,2017-04-11,MG-17-000431,Penn Hills Township,,Affidavit,56301.64,Northwest Bank
24863,1074H00285000000,1074H285,2017-04-10,MG-17-000432,Hampton Township,,Sheriff Return,218465.58,Wilmington Savings Fund Society FSB
24864,0083G00159000000,83G159,2017-04-10,MG-17-000433,Pittsburgh,11,Praecipe to Reinstate,186252.62,Suntrust Mortgage Inc.
24865,0056B00357000000,0056B00357,2017-04-11,MG-17-000434,Pittsburgh,15,Motion,56452.11,PHH Mortgage Corporation
24866,0118G00042000000,118G42,2017-04-11,MG-17-000435,Millvale Boro,,Settled and Discontinued,33030.67,First National Bank of Pennsylvania
24867,0114G00110000000,114G110,2017-04-11,MG-17-000436,Pittsburgh,27,Discontinued without Prejudice,85774.64,U.S. Bank National Association
24868,0137B00283000000,137B283,2017-04-11,MG-17-000437,Brentwood Boro,,Affidavit of Service,62617.96,Huntington National Bank
24869,0094E00285000000,94E285,2017-04-11,MG-17-000438,Pittsburgh,29,Affidavit of Service,49992.32,Nationstar Mortgage LLC
24870,0102G00019000000,102G19,2017-04-11,MG-17-000439,Scott Township,,Affidavit of Non-Military Service,46124.16,Deutsche Bank National Trust Company
24871,0446D00293000000,446D293,2017-04-11,MG-17-000440,Penn Hills Township,,Sheriff Return,104172.03,U.S. Bank N.A.
24872,0879K00147000000,879K147,2017-04-11,MG-17-000441,City of Clairton,2,Affidavit,43925.45,Wells Fargo Bank N.A.
24873,0136D00117000000,136D117,2017-04-12,MG-17-000443,Baldwin Boro,,Response,82867.29,LSF9 Master Participation Trust
24874,0633P00339000000,633P339,2017-04-12,MG-17-000444,Penn Hills Township,,Sheriff Return,113476.76,LSF9 Master Participation Trust
24875,0345C00305000000,345C305,2017-04-12,MG-17-000445,Aleppo Township,,Order of Court - Held for Conciliation,208940.33,Wells Fargo Bank N.A.
24876,1518L00290000000,1518L290,2017-04-12,MG-17-000446,Harrison Township,,Praecipe for Writ of Execution,84148.78,PNC Bank N.A.
24877,0419M00106000000,419M106,2017-04-12,MG-17-000447,Coraopolis Boro,,Reply to New Matter,61878.28,Citibank N.A.
24878,0235M00078000000,235M78,2017-04-12,MG-17-000448,Braddock Hills Boro,,Order of Court,73665.38,Bayview Loan Servicing Inc.
24879,0564K00071000000,564K71,2017-04-12,MG-17-000449,South Park Township,,Praecipe to Withdraw,93054.82,LSF9 Master Participation Trust
24880,0247L00156000000,247L156,2017-04-13,MG-17-000450,Whitehall Boro,,Certificate of Service,123695.02,Arvest Central Mortgage Company
24881,0055C00272000000,55C272,2017-04-13,MG-17-000451,Pittsburgh,15,Affidavit of Service,52132.93,Midfirst Bank
24882,0081D00159000000,81D159,2017-04-13,MG-17-000452,Pittsburgh,10,Praecipe to Reinstate,51785.22,Midfirst Bank
24883,0235J00143000000,235J143,2017-04-13,MG-17-000453,Swissvale Boro,,Affidavit of Service,21153.24,Midfirst Bank
24884,0462J00132000000,462J132,2017-04-13,MG-17-000454,City of McKeesport,9,Settled and Discontinued,52176.33,Midfirst Bank
24885,0440D00124000000,440D124,2017-04-13,MG-17-000455,Harmar Township,,Default Judgment,115728.01,LSF9 Master Participation Trust
24886,0005P00087000000,5P87,2017-04-13,MG-17-000456,Pittsburgh,20,Affidavit,55804.08,LSF8 Master Participation Trust
24887,0461H00085000000,461H085,2017-04-13,MG-17-000457,White Oak Boro,,Default Judgment,0.0,Pacific Union Financial LLC
24888,0464F00063000000,464F63,2017-04-13,MG-17-000458,City of McKeesport,9,Suggestion of Bankruptcy,71060.51,Nationstar Mortgage LLC
24889,0024B00031000000,24B31,2017-04-16,MG-17-000459,Pittsburgh,24,Return of Service,46079.2,U.S. Bank National Association
24890,0137K00110000000,137K110,2017-04-17,MG-17-000460,Brentwood Boro,,Affidavit,39510.52,M&T Bank
24891,9929X00748000000,9929X748,2017-04-14,MG-17-000461,N. Fayette Township,,Sheriff Return,312836.7,Bank of New York Mellon
24892,0477S00076000000,477S76,2017-04-16,MG-17-000462,Bethel Park Boro,,Return of Service,139528.67,Wells Fargo Bank N.A.
24893,0657R00127000000,657R127,2017-04-16,MG-17-000463,City of Clairton,1,Affidavit,33503.38,Wells Fargo Bank N.A.
24894,1270L00013000000,1270L13,2017-04-14,MG-17-000464,Elizabeth Township,,Order of Court - Held for Conciliation,382643.02,Specialized Loan Servicing LLC
24895,0094G00286000000,94G286,2017-04-17,MG-17-000465,Baldwin Boro,,Discontinued without Prejudice,55084.31,Bank of New York Mellon
24896,0657N00237000000,657N237,2017-04-17,MG-17-000466,City of Clairton,1,Suggestion of Bankruptcy,30937.97,Wells Fargo Bank N.A.
24897,0558B00180000000,558B180,2017-04-17,MG-17-000467,Glassport Boro,,Sheriff Return,224937.99,Bayview Loan Servicing LLC
24898,0841J00020000500,841J20 5,2017-04-17,MG-17-000468,East Deer Township,,Sheriff Return,59899.11,Wells Fargo Bank N.A.
24900,0056L00294000000,56L294,2017-04-17,MG-17-000470,Pittsburgh,15,Praecipe for Writ of Execution-Real Property,47245.38,LSF9 Master Participation Trust
24901,0445J00207000000,445J207,2017-04-17,MG-17-000471,Penn Hills Township,,Sheriff Return,64962.78,Lakeview Loan Servicing LLC
24902,0297C00016000000,297C16,2017-04-18,MG-17-000472,Wilkinsburg Boro,,Mail Returned,78840.06,MTGLQ Investors L.P.
24903,0301P00239000000,301P239,2017-04-18,MG-17-000473,N. Braddock Boro,,Sheriff Return,50162.21,Dollar Bank Federal Savings Bank
24904,0195P00044000000,195P44,2017-04-18,MG-17-000474,Scott Township,,Sheriff Return,29901.65,Branch Banking and Trust Company
24905,0653G00107000000,653G107,2017-04-18,MG-17-000475,Elizabeth Township,,Default Judgment,58386.04,Bayview Loan Servicing LLC
24906,0716K00136000000,716K136,2017-04-19,MG-17-000476,McCandless Township,,Praecipe to Reinstate,224025.98,Ocwen Loan Servicing LLC
24907,0481B00020000000,481B20,2017-04-19,MG-17-000477,S. Fayette Township,,Order of Court - Held for Conciliation,86780.35,PHH Mortgage Corporation
24908,0076A00048000000,76A48,2017-04-19,MG-17-000478,Pittsburgh,27,Discontinued without Prejudice,33481.19,PNC Bank National Association
24909,0113N00024000000,113N24,2017-04-19,MG-17-000479,Stowe Township,,Praecipe for Writ of Execution-Real Property,21921.01,Citizens Bank N.A.
24910,0554J00395000000,554J395,2017-04-19,MG-17-000480,Versailles Boro,,Praecipe for Writ of Execution,82022.58,Wells Fargo Bank N.A.
24911,0060R00297000000,60R297,2017-04-20,MG-17-000481,Pittsburgh,29,Praecipe for Writ of Execution,35407.77,Urban Redevelopment Authority of Pittsburgh
24912,0003F00079000000,3F79,2017-04-20,MG-17-000483,Pittsburgh,17,Complaint,203767.84,Bayview Loan Servicing LLC
24913,0035S00264000000,0035S00264,2017-04-20,MG-17-000484,Pittsburgh,19,Praecipe for Writ of Execution,90570.0,Bayview Loan Servicing LLC
24914,1104G00284000000,1104G284,2017-04-20,MG-17-000485,Plum Boro,,Settled and Discontinued,28220.98,Dollar Bank Federal Savings Bank
24915,0100A00327000000,100A327,2017-04-20,MG-17-000486,Scott Township,,Motion for Summary Judgment,176008.53,Federal National Mortgage Association
24916,0012K00143000000,0012K00143,2017-04-20,MG-17-000487,Pittsburgh,17,Order of Court - Held for Conciliation,138428.44,Bank of New York Mellon
24917,0556C00174000000,0556C00174,2017-04-20,MG-17-000488,Liberty Boro,,Settled and Discontinued,0.0,Wells Fargo Bank N.A.
24918,0097E00307000000,97E307,2017-04-20,MG-17-000489,Mt. Lebanon Township,,Sheriff Return,134006.09,Deutsche Bank National Trust Company
24919,0163E00100000000,163E100,2017-04-20,MG-17-000490,Pittsburgh,26,Order of Court - Held for Conciliation,65046.29,Fifth Third Mortgage Company
24920,0295B00250000000,295B250,2017-04-21,MG-17-000491,Penn Hills Township,,Judgment by Consent,26025.1,First Commonwealth Bank
24921,0188P00067000000,188P67,2017-04-21,MG-17-000492,Brentwood Boro,,Discontinued without Prejudice,37525.43,Wells Fargo Bank N.A.
24922,0167L00047000000,167L47,2017-04-21,MG-17-000493,Sharpsburg Boro,,Discontinued without Prejudice,6566.64,Wells Fargo Bank N.A.
24923,0341L00192000000,341L192,2017-04-21,MG-17-000494,Coraopolis Boro,,Settled and Discontinued,127683.88,JP Morgan Chase Bank National Association
24924,0280G00129000000,280G129,2017-04-21,MG-17-000495,West View Boro,,Praecipe to Withdraw,76686.49,JPMorgan Chase Bank N.A.
24925,0154B00079000000,154B79,2017-04-21,MG-17-000496,McKees Rocks Boro,,Order of Court - Held for Conciliation,330199.64,LSF9 Master Participation Trust
24926,0463G00307000000,463G307,2017-04-21,MG-17-000497,City of McKeesport,12,Order of Court - Held for Conciliation,73695.9,Ocwen Loan Servicing LLC
24927,0279F00166000000,279F166,2017-04-23,MG-17-000498,West View Boro,,Suggestion,120327.11,The Bank Of New York Mellon Trust Company N.A.
24928,0116E00027000000,116E27,2017-04-23,MG-17-000499,Pittsburgh,26,Complaint,32776.59,Pennymac Loan Services LLC
24929,0632B00261000000,632B261,2017-04-23,MG-17-000500,Penn Hills Township,,Sheriff Return,46726.4,Bank of America N.A.
24930,0075S00263000000,75S263,2017-04-23,MG-17-000501,Pittsburgh,27,Sheriff Return,77562.96,PHH Mortgage Corporation
24931,0075S00352000000,75S352,2017-04-23,MG-17-000501,Pittsburgh,27,Sheriff Return,77562.96,PHH Mortgage Corporation
24932,0167A00116000000,167A116,2017-04-24,MG-17-000502,Etna Boro,,Sheriff Return,48244.33,Pennsylvania Housing Finance Agency
24933,0633A00207000000,633A207,2017-04-24,MG-17-000503,Penn Hills Township,,Order of Court - Held for Conciliation,53750.87,U.S Bank National Association
24934,0004N00120000000,4N120,2017-04-24,MG-17-000504,Pittsburgh,19,Settled and Discontinued,41747.85,Pennsylvania Housing Finance Agency
24935,0046N00261000000,46N261,2017-04-24,MG-17-000505,Pittsburgh,25,Settled and Discontinued,2880.28,U.S. Bank National Assocation
24936,0632F00386000000,632F386,2017-04-24,MG-17-000506,Penn Hills Township,,Complaint,38781.92,Pennsylvania Housing Finance Agency
24937,0096A00008000000,96A8,2017-04-24,MG-17-000507,Pittsburgh,19,Settled and Discontinued,20429.85,U.S. Bank National Assocation
24938,0314P00054000000,314P54,2017-04-21,MG-17-000508,Whitehall Boro,,Affidavit of Non-Military Service,0.0,Wells Fargo Bank N.A.
24939,0383C00193000000,383C193,2017-04-24,MG-17-000509,Port Vue Boro,,Order of Court - Held for Conciliation,52253.97,Pennsylvania Housing Finance Agency
24940,0957G00007000000,957G7,2017-04-21,MG-17-000510,Indiana Township,,Settled and Discontinued,100249.36,Wells Fargo Bank NA
24941,0035F00102000000,35F102,2017-04-23,MG-17-000511,Pittsburgh,19,Complaint,65137.17,Wells Fargo Bank N.A
24942,0238L00109000000,238L109,2017-04-24,MG-17-000512,West Mifflin Boro,,Praecipe to Reinstate,108152.86,U.S. Bank National Association
24943,0139A00022000000,0139A00022,2017-04-24,MG-17-000513,Pittsburgh,19,Correction to Judgment Index,117532.92,Wells Fargo Bank N.A.
24944,0004N00067000000,4N67,2017-04-24,MG-17-000514,Pittsburgh,32,Sheriff Return,55392.09,Lakeview Loan Servicing LLC
24945,0734R00055000000,0734R00055,2017-04-24,MG-17-000515,Plum Boro,,Default Judgment,0.0,Federal National Mortgage Association
24946,1368R00205000000,1368R205,2017-04-20,MG-17-000516,Harrison Township,,Praecipe to Reinstate,55501.82,JPMorgan Chase Bank N.A.
24947,9905X01576000000,9905X1576,2017-04-21,MG-17-000517,Collier Township,,Sheriff Return,60380.09,Pennsylvania State Employees Credit Union
24948,0174P00003000000,174P3,2017-04-25,MG-17-000518,Pittsburgh,13,Certificate of Service,64848.04,U.S. Bank National Association
24949,0040S00159000000,40S159,2017-04-25,MG-17-000519,Pittsburgh,28,Certification,28489.08,Federal National Mortgage Association Fannie Mae
24950,9935X00424000000,9935X424,2017-04-25,MG-17-000520,Pine Township,,Notice,218681.86,HSBC Bank USA N.A.
24951,0054F00139000000,54F139,2017-04-26,MG-17-000521,Pittsburgh,14,Praecipe for Appearance,112094.11,Trinity Financial Services LLC
24952,0098S00138000000,98S138,2017-04-26,MG-17-000522,Dormont Boro,,Order of Court - Held for Conciliation,77148.95,U.S. Bank National Association
24953,0481L00051000000,481L51,2017-04-26,MG-17-000523,S. Fayette Township,,Praecipe to Reinstate,98980.63,JP Morgan Chase Bank National Association
24954,0432G00128000000,432G128,2017-04-26,MG-17-000524,Ross Township,,Order of Court - Held for Conciliation,0.0,Bank of America N.A.
24955,0059L00153000000,59L153,2017-04-26,MG-17-000525,Baldwin Boro,,Praecipe for Writ of Execution-Real Property,56453.26,Mortgage Bridge Solutions LLC
24956,0045P00153000100,45P153 1,2017-04-26,MG-17-000526,Pittsburgh,27,Sheriff Return,31244.97,Nationwide Advantage Mortgage Company
24957,0241B00236000000,241B236,2017-04-26,MG-17-000527,West Mifflin Boro,,Return of Service,105717.02,HSBC Bank USA N.A.
24958,0448B00186000000,448B186,2017-04-26,MG-17-000528,Penn Hills Township,,Sheriff Return,0.0,Ocwen Loan Servicing LLC
24959,0645M00089000000,645M89,2017-04-26,MG-17-000529,N. Versailles Twp.,,Affidavit,83528.49,Wells Fargo Bank N.A.
24960,0306F00317000000,306F317,2017-04-26,MG-17-000530,West Mifflin Boro,,Affidavit,97425.93,Wells Fargo Bank N.A.
24961,0979J00187000000,0979J00187,2017-04-27,MG-17-000531,Monroeville Boro,,Praecipe for Writ of Execution,0.0,JP Morgan Chase Bank National Association
24962,0341G00082000000,0341G00082,2017-04-27,MG-17-000532,Coraopolis Boro,,Affidavit of Service,0.0,PHH Mortgage Corporation
24963,0234L00052000000,234L52,2017-04-27,MG-17-000533,Braddock Hills Boro,,Settled and Discontinued,56820.16,Pennsylvania Housing Finance Agency
24964,0547K00284000000,547K284,2017-04-27,MG-17-000534,N. Versailles Twp.,,Sheriff Return,31111.3,Pennsylvania Housing Finance Agency
24965,0047H00286000000,47H286,2017-04-27,MG-17-000535,Reserve Township,,Praecipe for Writ of Execution,62815.68,Pennsylvania Housing Finance Agency
24966,0241K00077000000,241K77,2017-04-27,MG-17-000536,West Mifflin Boro,,Conciliation Scheduled,88295.01,Pennsylvania Housing Finance Agency
24967,0236G00157000000,236G157,2017-04-27,MG-17-000537,Braddock Boro,,Settled and Discontinued,33347.56,Pennsylvania Housing Finance Agency
24968,0233P00174000000,233P174,2017-04-27,MG-17-000538,Wilkinsburg Boro,,Order of Court - Held for Conciliation,17731.41,Midfirst Bank
24969,0458P00268000000,458P268,2017-04-27,MG-17-000539,N. Versailles Twp.,,Sheriff Return,106557.01,PNC Bank N.A.
24970,0137B00364000000,137B364,2017-04-27,MG-17-000540,Brentwood Boro,,Discontinued without Prejudice,56000.4,Wells Fargo Bank N.A.
24971,0367C00226000000,367C226,2017-04-27,MG-17-000541,Penn Hills Township,,Judgment by Consent,99823.94,Bayview Loan Servicing LLC
24972,0240S00066000000,240S66,2017-04-27,MG-17-000542,West Mifflin Boro,,Sheriff Return,55649.3,Bank of America N.A.
24973,0304E00053000000,304E53,2017-04-27,MG-17-000543,City of Duquesne,1,Sheriff Return,30050.64,Bayview Loan Servicing LLC
24974,0275S00062000000,275S62,2017-04-27,MG-17-000544,Emsworth Boro,,Conciliation Requested (MG),93399.39,Huntington National Bank
24975,0238P00068000000,238P68,2017-04-27,MG-17-000545,West Mifflin Boro,,Praecipe for Writ of Execution-Real Property,172983.86,Federal National Mortgage Association (Fannie Mae)
24976,0942F00073000000,942F73,2017-04-27,MG-17-000546,Franklin Park Boro,,Affidavit of Non-Military Service,187549.38,Wells Fargo Bank N.A.
24977,1241A00136000000,1241A136,2017-04-27,MG-17-000547,Plum Boro,,Praecipe to Reinstate,114251.09,Wells Fargo Bank N.A.
24978,0564R00027000000,564R27,2017-04-28,MG-17-000548,South Park Township,,Discontinued without Prejudice,100234.13,Federal National Mortgage Association Fannie Mae
24979,0372L00129000000,372L129,2017-04-28,MG-17-000549,Wilkins Township,,Sheriff Return,41391.4,M&T Bank
24980,0375P00056000000,375P56,2017-04-28,MG-17-000550,East Pittsburgh Boro,,Sheriff Return,41264.25,PNC Bank National Association
24981,0024E00270000000,24E270,2017-04-28,MG-17-000551,Pittsburgh,23,Default Judgment,52094.2,PNC Bank National Association
24982,0096N00246000000,96N246,2017-04-28,MG-17-000552,Baldwin Boro,,Sheriff Return,116315.07,PNC Bank National Association
24983,0041A00262000000,41A262,2017-04-28,MG-17-000553,Pittsburgh,20,Affidavit,74252.44,U.S. Bank National Association
24984,0166K00111000000,166K111,2017-04-28,MG-17-000554,Shaler Township,,Default Judgment,139583.42,LSF8 Master Participation Trust
24985,1519B00148000000,1519B148,2017-04-28,MG-17-000555,Harrison Township,,Order of Court - Held for Conciliation,76471.97,Suntrust Mortgage Incorporated
24986,0381A00139000000,381A139,2017-04-28,MG-17-000556,City of McKeesport,7,Order of Court - Held for Conciliation,37790.15,PHH Mortgage Corporation
24987,0652D00371000000,652D371,2017-04-28,MG-17-000557,Elizabeth Boro,,Judgment by Consent,146238.64,U.S. ROF IV Legal Title Trust 2015-1
24988,0112K00392000000,112K392,2017-04-28,MG-17-000558,Stowe Township,,Praecipe for Writ of Execution,17730.09,Bank of New York Mellon
24989,0547P00083000000,547P83,2017-05-01,MG-17-000559,N. Versailles Twp.,,Sheriff Return,42030.06,PNC Bank National Association
24990,0097A00198000000,97A198,2017-05-01,MG-17-000560,Dormont Boro,,Sheriff Return,61144.93,PNC Bank National Association
24991,0004P00154000000,4P154,2017-04-28,MG-17-000561,Pittsburgh,19,Praecipe to Reinstate,22776.78,Nationstar Mortgage LLC
24992,0809L00010000000,0809L00010 000000,2017-05-01,MG-17-000562,Moon Township,,Praecipe to Reinstate,129377.33,Wells Fargo Bank N.A.
24993,2013N00116000000,2013N116,2017-05-01,MG-17-000563,West Deer Township,,Praecipe to Reinstate,83465.01,PHH Mortgage Corporation
24994,0606C00060000000,606C60,2017-05-02,MG-17-000564,Sewickley Hills Boro,,Order of Court - Held for Conciliation,612070.65,PNC Bank National Association
24995,0538F00167000000,538F167,2017-05-02,MG-17-000565,Penn Hills Township,,Discontinued without Prejudice,32239.19,PNC Bank National Association
24996,0104G00204000000,104G204,2017-05-02,MG-17-000566,Rosslyn Farms Boro,,Discontinued without Prejudice,190377.85,Nationstar Mortgage LLC
24997,0380R00234000000,380R234,2017-05-02,MG-17-000567,City of McKeesport,,Notice,61756.66,U.S. Bank National Association
24998,0368P00119000000,368P119,2017-05-03,MG-17-000568,Penn Hills Township,,Sheriff Return,51283.7,PNC Bank National Association
24999,1107R00322000000,1107R322,2017-05-03,MG-17-000569,Monroeville Boro,,Sheriff Return,102127.8,Wells Fargo Bank N.A.
25000,1821B00005000000,1821B5,2017-05-03,MG-17-000570,Marshall Township,,Praecipe for Writ of Execution,733829.17,PNC Bank National Association
25001,1007F00024000000,1007F24,2017-05-03,MG-17-000571,South Park Township,,Settled and Discontinued,90160.35,JPMC Speciality Mortgage LLC
25002,0295N00213000000,295N213,2017-05-04,MG-17-000572,Penn Hills Township,,Default Judgment,0.0,PNC Bank N.A.
25003,0887A00086000000,887A86,2017-05-04,MG-17-000573,Bethel Park Boro,,Judgment by Consent,0.0,PNC Bank N.A.
25004,0180L00116000000,180L116,2017-05-04,MG-17-000574,Whitaker Boro,,Sheriff Return,42642.97,Nationstar Mortgage LLC
25005,0280K00301000000,280K301,2017-05-04,MG-17-000575,West View Boro,,Settled and Discontinued,51081.1,Huntington National Bank
25006,0180L00116000000,180L116,2017-05-04,MG-17-000576,Whitaker Boro,,Praecipe to Withdraw,40279.42,Wells Fargo Bank N.A.
25007,0341C00108000000,341C108,2017-05-08,MG-17-000577,Coraopolis Boro,,Praecipe for Writ of Execution-Real Property,66521.45,LSF9 Master Participation Trust
25008,1001S00155000000,1001S155,2017-05-08,MG-17-000578,Lincoln Boro,,Sheriff Return,10682.65,Bank of America N.A.
